Testprobe,y3:284,y2:253,x3:255,x2:130,x4:305,y4:334,x1:80,y1:203
Jobprobe,y3:284,y2:253,x3:255,x2:130,x4:305,y4:334,x1:10,y1:203
Test,x2:604,y3:284,y1:366,x4:305,y4:334,x3:255,x1:484,y2:416,
Test,x2:393,y3:284,y1:171,x4:305,y4:334,x3:255,x1:273,y2:221,
New_probe,y3:284,x2:473,y2:221,y1:171,x1:273,x3:255,y4:334,x4:305,
Test,x3:608,y4:370,x2:212,y3:320,x1:162,y1:194,y2:244,x4:658,
probe1_withoutFilter,x1:310,y4:407,y3:357,x3:497,x2:360,x4:547,y1:194,y2:244,
Test,y1:379,x3:467,y2:429,x1:536,x2:586,y4:434,y3:384,x4:517,
Test,y4:418,y3:368,x2:516,y1:371,x4:586,x3:536,x1:466,y2:421,
Test,y4:418,y3:368,x2:516,y1:371,x4:586,x3:536,x1:466,y2:421,
Test,x4:619,x2:96,y1:402,y3:404,y2:452,x3:569,y4:454,x1:46,
Test,x3:436,x1:128,x4:486,y4:325,y2:339,x2:178,y1:289,y3:275,
Test,y4:393,y3:343,x2:154,x1:104,y2:387,y1:337,x3:480,x4:530,
Test,y4:393,y3:343,x2:161,x1:111,y2:391,y1:341,x3:480,x4:530,
Test,x1:150,x2:200,y2:390,y3:346,y1:340,x4:502,x3:452,y4:396,
Test,x1:157,x2:207,y2:309,y3:247,y1:259,x4:511,x3:461,y4:297,
Test,y1:260,x1:148,x4:464,x2:198,y4:317,y3:267,y2:310,x3:414,
Test,y2:460,x2:348,y1:260,y4:467,x3:414,x1:148,y3:267,x4:614,
Test,x4:464,x1:148,y2:310,y3:267,y4:317,x3:414,x2:198,y1:260,
Test,x4:456,x1:337,x2:387,y2:356,x3:406,y4:351,y1:306,y3:301,
Test,x3:444,x2:214,y3:334,y1:335,x1:164,x4:494,y2:385,y4:384,
Test,y3:257,x2:251,x4:500,y2:294,y4:307,x1:201,y1:244,x3:450,
Test,y3:257,x2:251,x4:500,y2:294,y4:307,x1:201,y1:244,x3:450,
Test,y3:257,x2:251,x4:500,y2:294,y4:307,x1:201,y1:244,x3:450,
Test,y3:257,x2:251,x4:500,y2:294,y4:307,x1:201,y1:244,x3:450,
Test,x1:200,y3:231,x3:399,y2:269,x4:429,x2:230,y4:261,y1:239,
Test,x3:421,y3:237,y4:267,x2:216,x1:186,y2:276,x4:451,y1:246,
Test,y3:205,x3:380,y4:305,x1:157,y1:223,x2:257,y2:323,x4:480,
Test,y3:205,x3:380,y4:305,x1:157,y1:223,x2:257,y2:323,x4:480,
Test,y4:270,y3:235,x1:195,x4:442,x2:230,x3:407,y2:280,y1:245,
Test,y3:234,y1:231,x2:215,x4:406,y4:269,x3:371,y2:266,x1:180,
Test,x1:132,y2:263,y1:228,y3:231,x4:444,y4:266,x2:167,x3:409,
Test,y4:255,x3:375,x2:198,y3:220,y1:231,y2:266,x1:163,x4:410,
Test,x1:131,x4:410,y4:255,y3:220,x3:375,y1:230,x2:166,y2:265,
Test,y2:390,y4:447,y1:355,x3:380,x2:424,y3:412,x1:389,x4:415,
Test,y1:210,y2:245,y3:209,x3:400,x4:435,x2:186,y4:244,x1:151,
Test,x4:186,x2:432,x1:397,y1:191,y2:226,x3:151,y3:194,y4:229,
